id,phone,email,address,name
2,960-894-2929,jane.smith@yahoo.com,"830 Cedar St, Phoenix, PA",JANE SMITH
3,5886424539,sarah.davis@yahoo.com,"212 Elm Street, Chicago, IL",SARAH DAVIS
13,756-645-4252,sarah.davis@hotmail.com,"757 Pine St, Houston, AZ",Sarah Davis
29,143-315-2511,robert.taylor@outlook.com,"732 Maple St, Los Angeles, IL",Robert Taylor
34,977-668-8993,jennifer.anderson@yahoo.com,"279 Maple St, Chicago, AZ",Jennifer Anderson
44,300-848-2395,david.wilson@hotmail.com,"843 Maple St, Chicago, TX",David Wilson
45,689-387-7110,sarah.davis@yahoo.com,"864 Pine St, Houston, NY",Sarah Davis
48,189-697-3062,william.thomas@hotmail.com,"655 Main St, Chicago, CA",William Thomas
52,329-122-5281,william.thomas@outlook.com,"149 Lake St, Dallas, NY",William Thomas
55,8801624335,michael.johnson@outlook.com,"449 Maple St, Los Angeles, TX",Michael Johnson
58,176-784-7794,john.doe@yahoo.com,"824 Lake St, Philadelphia, IL",John Doe
84,679-232-9084,david.wilson@outlook.com,"456 Washington St, Los Angeles, IL",David Wilson
